acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,acc11,acc12,acc13,acc14,acc15,simbology
25, -10, -18, 30, -5, 10, 17, 13, 25, 16, 14, 25, 18, 8, 27,D
25, -12, -18, 30, -8, 11, 17, 12, 25, 17, 14, 23, 19, 8, 25,D
25, -11, -18, 29, -8, 11, 17, 12, 25, 16, 14, 24, 18, 8, 26,D
25, -12, -18, 29, -9, 12, 18, 12, 24, 17, 14, 24, 19, 8, 26,D
25, -11, -18, 28, -10, 12, 18, 11, 25, 16, 13, 24, 18, 7, 25,D
25, -11, -18, 29, -9, 12, 18, 12, 25, 16, 15, 24, 18, 8, 27,D
25, -11, -19, 30, -8, 11, 18, 13, 24, 16, 15, 24, 18, 8, 26,D
24, -12, -19, 30, -5, 12, 16, 13, 25, 16, 15, 24, 18, 9, 26,D
24, -13, -19, 30, -3, 12, 15, 13, 26, 15, 14, 24, 18, 9, 26,D
24, -13, -19, 29, -4, 13, 15, 14, 26, 15, 15, 24, 17, 9, 26,D
24, -13, -19, 30, -4, 11, 16, 14, 25, 15, 15, 24, 17, 9, 26,D
24, -13, -18, 30, -5, 9, 17, 14, 24, 16, 16, 23, 18, 10, 26,D
24, -14, -19, 30, -5, 12, 15, 15, 25, 14, 16, 25, 17, 10, 27,D
24, -14, -19, 29, -4, 13, 15, 15, 26, 14, 16, 24, 17, 10, 26,D
23, -14, -19, 29, -8, 13, 16, 14, 25, 15, 17, 24, 17, 10, 27,D
23, -14, -20, 28, -9, 14, 17, 12, 25, 14, 16, 24, 17, 10, 26,D
23, -14, -19, 27, -9, 15, 17, 12, 25, 14, 16, 23, 16, 10, 26,D
23, -13, -19, 28, -10, 15, 17, 13, 25, 14, 17, 24, 16, 10, 27,D
23, -14, -19, 28, -9, 14, 17, 12, 25, 14, 16, 24, 16, 10, 26,D
22, -13, -18, 28, -8, 14, 16, 12, 25, 14, 17, 24, 16, 10, 27,D
23, -14, -19, 27, -9, 15, 16, 12, 25, 14, 16, 23, 16, 10, 26,D
23, -14, -20, 27, -9, 15, 16, 12, 26, 14, 16, 24, 16, 10, 27,D
23, -11, -21, 28, -6, 15, 14, 14, 26, 13, 16, 24, 16, 10, 27,D
20, -12, -24, 28, -8, 15, 15, 13, 26, 13, 17, 24, 16, 10, 27,D
22, -11, -21, 29, -6, 12, 18, 12, 25, 17, 16, 23, 19, 9, 26,D
21, -15, -21, 29, -8, 13, 18, 11, 25, 18, 14, 23, 21, 6, 24,D
20, -8, -23, 25, -15, 14, 14, 4, 28, 14, 8, 26, 18, 1, 26,D
25, -14, -14, 31, -3, 8, 22, 12, 21, 20, 16, 19, 23, 10, 21,D
19, -13, -20, 28, -4, 11, 16, 14, 23, 14, 17, 23, 16, 10, 26,D
22, -12, -21, 30, -8, 7, 19, 11, 23, 16, 14, 24, 19, 7, 26,D
25, -13, -19, 32, -6, 8, 21, 13, 22, 17, 17, 23, 20, 9, 25,D
26, -13, -15, 31, -5, 4, 23, 12, 19, 21, 16, 18, 23, 10, 21,D
26, -13, -17, 31, -7, 5, 23, 11, 21, 21, 16, 21, 22, 9, 24,D
26, -14, -15, 31, -5, 4, 23, 12, 19, 21, 17, 18, 23, 10, 21,D
26, -13, -16, 31, -6, 6, 22, 12, 21, 20, 16, 20, 22, 10, 23,D
25, -14, -16, 31, -5, 6, 22, 12, 20, 20, 17, 19, 22, 10, 22,D
26, -14, -15, 31, -6, 6, 22, 12, 20, 20, 17, 19, 22, 10, 22,D
26, -14, -16, 31, -6, 5, 23, 12, 20, 20, 16, 20, 22, 10, 22,D
26, -13, -15, 32, -5, 5, 23, 13, 19, 21, 16, 18, 23, 10, 21,D
26, -14, -15, 31, -5, 6, 22, 12, 20, 20, 17, 19, 22, 11, 22,D
27, -20, 0, 13, 3, 30, 10, 9, 30, 16, 14, 24, 21, 7, 24,E
28, -19, 0, 13, 3, 30, 9, 9, 30, 15, 15, 25, 20, 7, 26,E
27, -19, 0, 12, 3, 30, 9, 9, 31, 15, 15, 24, 20, 7, 25,E
27, -19, 0, 13, 2, 30, 10, 8, 31, 16, 14, 24, 20, 6, 26,E
28, -19, 0, 13, 2, 30, 10, 8, 31, 16, 14, 25, 20, 6, 26,E
28, -19, 0, 13, 2, 30, 10, 8, 31, 16, 14, 24, 20, 6, 25,E
28, -19, 0, 14, 2, 30, 10, 8, 30, 16, 15, 24, 20, 6, 26,E
28, -19, 0, 13, 2, 31, 10, 8, 31, 16, 14, 24, 20, 6, 25,E
28, -18, 0, 13, 2, 30, 10, 8, 30, 16, 14, 25, 20, 6, 25,E
28, -19, 0, 13, 2, 30, 9, 8, 31, 16, 15, 24, 20, 6, 25,E
28, -19, 0, 13, 2, 30, 9, 8, 31, 16, 14, 24, 20, 7, 26,E
28, -18, 0, 13, 2, 30, 10, 8, 31, 16, 15, 24, 20, 7, 26,E
28, -18, 0, 13, 1, 30, 9, 8, 31, 15, 14, 25, 20, 6, 25,E
27, -19, 0, 12, 2, 30, 10, 8, 30, 16, 14, 25, 19, 6, 26,E
28, -18, 0, 13, 2, 30, 9, 9, 31, 15, 15, 24, 20, 7, 26,E
28, -18, 0, 13, 2, 30, 10, 8, 30, 16, 15, 24, 20, 7, 25,E
28, -19, 0, 12, 1, 31, 9, 8, 31, 15, 15, 24, 20, 7, 26,E
28, -18, 0, 13, 2, 30, 9, 8, 31, 15, 15, 24, 20, 7, 25,E
28, -18, 0, 13, 1, 31, 9, 7, 31, 15, 14, 24, 20, 7, 25,E
28, -20, 0, 12, 3, 30, 9, 8, 31, 15, 14, 24, 20, 7, 25,E
28, -19, -1, 11, 2, 31, 8, 8, 31, 14, 15, 25, 20, 7, 25,E
28, -19, 0, 12, 1, 31, 8, 8, 31, 15, 15, 24, 20, 7, 26,E
28, -18, 0, 13, 2, 31, 8, 8, 31, 15, 15, 24, 20, 7, 26,E
